,Result_everyday,Result_peak
MSE,130.54100036621094,299.595458984375
RMSE,11.425454139709473,17.308826446533203
R2,-0.7638578988576695,-1.994400059473986
MAE,8.056483268737793,13.148709297180176
MAPE,446.6320991516113,97.55064249038696
