,Result_everyday,Result_peak
MSE,104.7546615600586,222.72698974609375
RMSE,10.23497200012207,14.924040794372559
R2,-1.3896545912482237,-6.5894247944802276
MAE,7.899774551391602,12.155550003051758
MAPE,595.0531005859375,110.25251150131226
