,Result_everyday,Result_peak
MSE,100.33172607421875,268.7428283691406
RMSE,10.016572952270508,16.39337730407715
R2,-2.639333393774909,-6.196679317803801
MAE,7.242042064666748,12.618759155273438
MAPE,484.7867488861084,76.92558765411377
