,Result_everyday,Result_peak
MSE,128.37062072753906,718.581787109375
RMSE,11.330076217651367,26.80637550354004
R2,-2.290040612785227,-32.16983469632871
MAE,8.961099624633789,25.35826301574707
MAPE,678.3239364624023,54.670512676239014
