,Result_everyday,Result_peak
MSE,187.20787048339844,694.685546875
RMSE,13.682393074035645,26.356887817382812
R2,-1.4688939395938716,-8.936181824252314
MAE,10.514826774597168,23.6738338470459
MAPE,692.6988124847412,50.41611194610596
